[13:20:17 06/23/16] INFO  -  id:470 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_16.jpg
[13:20:17 06/23/16] INFO  -  id:471 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_17.jpg
[13:20:17 06/23/16] INFO  -  id:472 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_18.jpg
[13:20:22 06/23/16] INFO  - RetrieveServer ## id=8f12e7b530bd411b#pi=1#pn=10#word=北京西站#
[13:20:22 06/23/16] INFO  - status 1
[13:20:22 06/23/16] INFO  -  id:137 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/13/ name:13_1.JPG
[13:20:22 06/23/16] INFO  -  id:138 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/13/ name:13_2.JPG
[13:20:22 06/23/16] INFO  -  id:139 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/13/ name:13_3.JPG
[13:20:22 06/23/16] INFO  -  id:140 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/13/ name:13_4.JPG
[13:20:22 06/23/16] INFO  -  id:141 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/13/ name:13_5.JPG
[13:20:22 06/23/16] INFO  -  id:142 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/13/ name:13_6.JPG
[13:20:22 06/23/16] INFO  -  id:143 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/13/ name:13_7.JPG
[13:20:22 06/23/16] INFO  -  id:503 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_1.jpg
[13:20:22 06/23/16] INFO  -  id:504 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_10.jpg
[13:20:22 06/23/16] INFO  -  id:505 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_11.jpg
[13:20:22 06/23/16] INFO  -  id:506 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_12.jpg
[13:20:22 06/23/16] INFO  -  id:507 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_13.jpg
[13:20:22 06/23/16] INFO  -  id:508 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_14.jpg
[13:20:22 06/23/16] INFO  -  id:509 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_15.jpg
[13:20:22 06/23/16] INFO  -  id:510 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_16.jpg
[13:20:22 06/23/16] INFO  -  id:511 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_17.jpg
[13:20:22 06/23/16] INFO  -  id:512 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_18.jpg
[13:20:48 06/23/16] INFO  - RetrieveServer ## id=dd8e3fbcc443438e#pi=1#pn=10#word=北京站#
[13:20:48 06/23/16] INFO  - status 1
[13:20:48 06/23/16] INFO  -  id:144 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/14/ name:14_1.JPG
[13:20:48 06/23/16] INFO  -  id:145 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/14/ name:14_2.JPG
[13:20:48 06/23/16] INFO  -  id:146 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/14/ name:14_3.JPG
[13:20:48 06/23/16] INFO  -  id:147 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/14/ name:14_4.JPG
[13:20:48 06/23/16] INFO  -  id:148 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/14/ name:14_5.JPG
[13:20:48 06/23/16] INFO  -  id:149 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/14/ name:14_6.JPG
[13:20:48 06/23/16] INFO  -  id:546 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_1.jpg
[13:20:48 06/23/16] INFO  -  id:547 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_10.jpg
[13:20:48 06/23/16] INFO  -  id:548 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_11.jpg
[13:20:48 06/23/16] INFO  -  id:549 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_12.jpg
[13:20:48 06/23/16] INFO  -  id:550 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_13.jpg
[13:20:48 06/23/16] INFO  -  id:551 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_14.jpg
[13:20:48 06/23/16] INFO  -  id:552 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_15.jpg
[13:20:48 06/23/16] INFO  -  id:553 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_16.jpg
[13:20:48 06/23/16] INFO  -  id:554 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_17.jpg
[13:20:48 06/23/16] INFO  -  id:555 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_18.jpg
[13:21:00 06/23/16] INFO  - RetrieveServer ## id=43e1e9993abf4151#pi=1#pn=10#word=北京#
[13:21:00 06/23/16] INFO  - status 1
[13:21:00 06/23/16] INFO  -  id:68 path:116.385495_39.871177 name:北京南站
[13:21:00 06/23/16] INFO  -  id:69 path:116.327764_39.900515 name:北京西站
[13:21:00 06/23/16] INFO  -  id:70 path:116.433737_39.909780 name:北京站
[13:21:00 06/23/16] INFO  -  id:82 path:116.385495_39.871177 name:北京南站
[13:21:00 06/23/16] INFO  -  id:83 path:116.385495_39.871177 name:北京西站
[13:21:00 06/23/16] INFO  -  id:84 path:116.433737_39.909780 name:北京站
[13:21:01 06/23/16] INFO  - RetrieveServer ## id=5b97cf1d2d2d46e8#pi=1#pn=10#word=北京南站#
[13:21:01 06/23/16] INFO  - status 1
[13:21:01 06/23/16] INFO  -  id:130 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_1.JPG
[13:21:01 06/23/16] INFO  -  id:131 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_2.png
[13:21:01 06/23/16] INFO  -  id:132 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_3.JPG
[13:21:01 06/23/16] INFO  -  id:133 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_4.JPG
[13:21:01 06/23/16] INFO  -  id:134 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_5.JPG
[13:21:01 06/23/16] INFO  -  id:135 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_6.JPG
[13:21:01 06/23/16] INFO  -  id:136 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_7.JPG
[13:21:01 06/23/16] INFO  -  id:463 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_1.jpg
[13:21:01 06/23/16] INFO  -  id:464 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_10.jpg
[13:21:01 06/23/16] INFO  -  id:465 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_11.jpg
[13:21:01 06/23/16] INFO  -  id:466 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_12.jpg
[13:21:01 06/23/16] INFO  -  id:467 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_13.jpg
[13:21:01 06/23/16] INFO  -  id:468 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_14.jpg
[13:21:01 06/23/16] INFO  -  id:469 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_15.jpg
[13:21:01 06/23/16] INFO  -  id:470 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_16.jpg
[13:21:01 06/23/16] INFO  -  id:471 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_17.jpg
[13:21:01 06/23/16] INFO  -  id:472 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_18.jpg
[13:21:02 06/23/16] INFO  - RetrieveServer ## id=626488d364c54f51#pi=1#pn=10#word=北京南站#
[13:21:02 06/23/16] INFO  - status 1
[13:21:02 06/23/16] INFO  -  id:130 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_1.JPG
[13:21:02 06/23/16] INFO  -  id:131 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_2.png
[13:21:02 06/23/16] INFO  -  id:132 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_3.JPG
[13:21:02 06/23/16] INFO  -  id:133 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_4.JPG
[13:21:02 06/23/16] INFO  -  id:134 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_5.JPG
[13:21:02 06/23/16] INFO  -  id:135 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_6.JPG
[13:21:02 06/23/16] INFO  -  id:136 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_7.JPG
[13:21:02 06/23/16] INFO  -  id:463 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_1.jpg
[13:21:02 06/23/16] INFO  -  id:464 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_10.jpg
[13:21:02 06/23/16] INFO  -  id:465 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_11.jpg
[13:21:02 06/23/16] INFO  -  id:466 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_12.jpg
[13:21:02 06/23/16] INFO  -  id:467 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_13.jpg
[13:21:02 06/23/16] INFO  -  id:468 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_14.jpg
[13:21:02 06/23/16] INFO  -  id:469 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_15.jpg
[13:21:02 06/23/16] INFO  -  id:470 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_16.jpg
[13:21:02 06/23/16] INFO  -  id:471 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_17.jpg
[13:21:02 06/23/16] INFO  -  id:472 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_18.jpg
[13:21:11 06/23/16] INFO  - RetrieveServer ## id=8ae89836feec460b#pi=1#pn=10#word=北京西站#
[13:21:11 06/23/16] INFO  - status 1
[13:21:11 06/23/16] INFO  -  id:137 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/13/ name:13_1.JPG
[13:21:11 06/23/16] INFO  -  id:138 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/13/ name:13_2.JPG
[13:21:11 06/23/16] INFO  -  id:139 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/13/ name:13_3.JPG
[13:21:11 06/23/16] INFO  -  id:140 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/13/ name:13_4.JPG
[13:21:11 06/23/16] INFO  -  id:141 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/13/ name:13_5.JPG
[13:21:11 06/23/16] INFO  -  id:142 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/13/ name:13_6.JPG
[13:21:11 06/23/16] INFO  -  id:143 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/13/ name:13_7.JPG
[13:21:11 06/23/16] INFO  -  id:503 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_1.jpg
[13:21:11 06/23/16] INFO  -  id:504 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_10.jpg
